Date,Price
2014-01-01,80.29
2014-01-02,80.79
2014-01-03,80.95
2014-01-06,80.81
2014-01-07,80.98
2014-01-08,81.16
2014-01-09,81.14
2014-01-10,80.75
2014-01-13,80.61
2014-01-14,80.76
2014-01-15,81.14
2014-01-16,81.02
2014-01-17,81.36
2014-01-20,81.36
2014-01-21,81.23
2014-01-22,81.31
2014-01-23,80.53
2014-01-24,80.54
2014-01-27,80.61
2014-01-28,80.66
2014-01-29,80.58
2014-01-30,81.19
2014-01-31,81.4
2014-02-03,81.11
2014-02-04,81.22
2014-02-05,81.13
2014-02-06,81
2014-02-07,80.76
2014-02-10,80.73
2014-02-11,80.7
2014-02-12,80.74
2014-02-13,80.38
2014-02-14,80.18
2014-02-17,80.18
2014-02-18,80.05
2014-02-19,80.19
2014-02-20,80.32
2014-02-21,80.27
2014-02-24,80.22
2014-02-25,80.17
2014-02-26,80.46
2014-02-27,80.31
2014-02-28,79.72
2014-03-03,80.09
2014-03-04,80.18
2014-03-05,80.12
2014-03-06,79.67
2014-03-07,79.72
2014-03-10,79.77
2014-03-11,79.73
2014-03-12,79.61
2014-03-13,79.63
2014-03-14,79.44
2014-03-17,79.31
2014-03-18,79.54
2014-03-19,80.13
2014-03-20,80.35
2014-03-21,80.26
2014-03-24,80.08
2014-03-25,80.09
2014-03-26,80.17
2014-03-27,80.25
2014-03-28,80.33
2014-03-31,80.25
2014-04-01,80.25
2014-04-02,80.37
2014-04-03,80.64
2014-04-04,80.57
2014-04-07,80.36
2014-04-08,79.83
2014-04-09,79.55
2014-04-10,79.45
2014-04-11,79.52
2014-04-14,79.81
2014-04-15,79.89
2014-04-16,79.88
2014-04-17,79.9
2014-04-21,80.03
2014-04-22,80
2014-04-23,79.94
2014-04-24,79.88
2014-04-25,79.82
2014-04-28,79.76
2014-04-29,79.88
2014-04-30,79.53
2014-05-01,79.58
2014-05-02,79.56
2014-05-05,79.53
2014-05-06,79.13
2014-05-07,79.24
2014-05-08,79.4
2014-05-09,79.96
2014-05-12,79.97
2014-05-13,80.21
2014-05-14,80.14
2014-05-15,80.06
2014-05-16,80.11
2014-05-19,80.05
2014-05-20,80.09
2014-05-21,80.15
2014-05-22,80.31
2014-05-23,80.45
2014-05-26,80.45
2014-05-27,80.41
2014-05-28,80.62
2014-05-29,80.54
2014-05-30,80.4
2014-06-02,80.69
2014-06-03,80.59
2014-06-04,80.71
2014-06-05,80.4
2014-06-06,80.43
2014-06-09,80.68
2014-06-10,80.85
2014-06-11,80.81
2014-06-12,80.59
2014-06-13,80.66
2014-06-16,80.47
2014-06-17,80.72
2014-06-18,80.67
2014-06-19,80.4
2014-06-20,80.44
2014-06-23,80.34
2014-06-24,80.39
2014-06-25,80.27
2014-06-26,80.28
2014-06-27,80.09
2014-06-30,79.81
2014-07-01,79.84
2014-07-02,79.98
2014-07-03,80.28
2014-07-04,80.28
2014-07-07,80.27
2014-07-08,80.22
2014-07-09,80.04
2014-07-10,80.17
2014-07-11,80.23
2014-07-14,80.23
2014-07-15,80.45
2014-07-16,80.62
2014-07-17,80.57
2014-07-18,80.59
2014-07-21,80.63
2014-07-22,80.86
2014-07-23,80.92
2014-07-24,80.96
2014-07-25,81.12
2014-07-28,81.12
2014-07-29,81.31
2014-07-30,81.52
2014-07-31,81.52
2014-08-01,81.38
2014-08-04,81.41
2014-08-05,81.61
2014-08-06,81.51
2014-08-07,81.61
2014-08-08,81.45
2014-08-11,81.53
2014-08-12,81.56
2014-08-13,81.66
2014-08-14,81.65
2014-08-15,81.47
2014-08-18,81.63
2014-08-19,81.94
2014-08-20,82.28
2014-08-21,82.21
2014-08-22,82.38
2014-08-25,82.59
2014-08-26,82.68
2014-08-27,82.45
2014-08-28,82.52
2014-08-29,82.78
2014-09-01,82.78
2014-09-02,83.01
2014-09-03,82.89
2014-09-04,83.83
2014-09-05,83.76
2014-09-08,84.24
2014-09-09,84.28
2014-09-10,84.29
2014-09-11,84.3
2014-09-12,84.24
2014-09-15,84.25
2014-09-16,84.23
2014-09-17,84.49
2014-09-18,84.43
2014-09-19,84.86
2014-09-22,84.86
2014-09-23,84.78
2014-09-24,85.16
2014-09-25,85.3
2014-09-26,85.77
2014-09-29,85.72
2014-09-30,86.05
2014-10-01,86.08
2014-10-02,85.69
2014-10-03,86.82
2014-10-06,86.04
2014-10-07,85.78
2014-10-08,85.41
2014-10-09,85.66
2014-10-10,86.03
2014-10-13,85.73
2014-10-14,85.94
2014-10-15,85.24
2014-10-16,85.04
2014-10-17,85.21
2014-10-20,85.04
2014-10-21,85.4
2014-10-22,85.85
2014-10-23,85.95
2014-10-24,85.82
2014-10-27,85.56
2014-10-28,85.47
2014-10-29,86.04
2014-10-30,86.23
2014-10-31,87.02
2014-11-03,87.41
2014-11-04,87.09
2014-11-05,87.57
2014-11-06,88.13
2014-11-07,87.73
2014-11-10,87.91
2014-11-11,87.72
2014-11-12,87.91
2014-11-13,87.75
2014-11-14,87.59
2014-11-17,88.01
2014-11-18,87.64
2014-11-19,87.71
2014-11-20,87.67
2014-11-21,88.41
2014-11-24,88.21
2014-11-25,87.96
2014-11-26,87.65
2014-11-27,87.65
2014-11-28,88.41
2014-12-01,87.98
2014-12-02,88.7
2014-12-03,88.99
2014-12-04,88.73
2014-12-05,89.36
2014-12-08,89.05
2014-12-09,88.69
2014-12-10,88.29
2014-12-11,88.68
2014-12-12,88.34
2014-12-15,88.57
2014-12-16,88.3
2014-12-17,89.33
2014-12-18,89.48
2014-12-19,89.84
2014-12-22,89.95
2014-12-23,90.33
2014-12-24,90.22
2014-12-26,90.31
2014-12-29,90.5
2014-12-30,90.28
2014-12-31,90.65
